customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,age
50,Whitby,Schapero,M,38,01-10-80,Account Executive,Manufacturing,Mass Customer,N,Yes,16,42
51,Fidelio,Dilke,M,68,05-12-59,Computer Systems Analyst II,Retail,Mass Customer,N,No,18,63
52,Curran,Bentson,M,57,22-06-88,,Financial Services,Mass Customer,N,Yes,13,34
53,Agnella,Gocke,F,22,18-04-54,Software Test Engineer II,Financial Services,Mass Customer,N,No,16,68
54,Loralyn,Wonfor,F,2,24-07-66,Sales Associate,Property,Mass Customer,N,Yes,18,56
55,Linc,Jillions,M,48,24-09-56,Paralegal,Financial Services,Affluent Customer,N,Yes,7,66
56,Reese,Ensor,M,44,04-07-96,VP Sales,Property,Mass Customer,N,Yes,4,26
57,Abba,Masedon,M,87,13-06-88,Chief Design Engineer,,Mass Customer,N,Yes,13,34
58,Dalenna,Pinnock,F,26,04-07-67,Office Assistant III,Financial Services,Affluent Customer,N,Yes,17,55
59,Niki,Heathcote,M,60,08-02-00,Physical Therapy Assistant,,High Net Worth,N,No,3,23
60,Nadiya,Champerlen,F,18,04-02-70,,Manufacturing,Mass Customer,N,No,10,53
61,Kacey,Rowbottom,F,47,29-11-59,Help Desk Operator,Property,High Net Worth,N,No,13,63
62,Sorcha,Roggers,F,38,06-07-79,,IT,Mass Customer,N,Yes,22,43
63,Ebony,Zini,F,58,03-07-65,Senior Quality Engineer,Retail,Mass Customer,N,Yes,16,57
64,Gerek,Yve,M,73,25-03-78,Legal Assistant,IT,High Net Worth,N,No,4,45
65,Yale,Tanser,M,21,01-04-76,Information Systems Manager,Financial Services,Affluent Customer,N,Yes,15,47
66,Anselm,Gawne,M,46,11-03-02,Account Executive,Argiculture,High Net Worth,N,No,1,21
67,Vernon,,M,67,14-06-60,Web Developer II,Retail,Mass Customer,N,No,18,62
68,Dahlia,Eddoes,F,37,21-04-74,Information Systems Manager,,Affluent Customer,N,No,9,48
69,Heidi,Milner,F,16,22-06-69,Web Developer II,,Mass Customer,N,No,6,53
70,Foster,Vannoort,M,78,27-02-93,Paralegal,Financial Services,Affluent Customer,N,No,8,30
71,Hoyt,Glavias,M,30,27-01-85,Research Associate,Argiculture,Affluent Customer,N,Yes,12,38
72,Sammy,Cheese,M,93,13-02-72,Administrative Officer,Manufacturing,Affluent Customer,N,Yes,16,51
73,Minette,Worters,F,16,27-05-60,Teacher,,Affluent Customer,N,Yes,5,62
74,Pansy,Kiddie,F,94,19-06-69,,,Mass Customer,N,Yes,6,53
75,Dollie,Sealy,F,28,15-07-78,VP Product Management,Property,Mass Customer,N,No,19,44
76,Rea,Hasser,F,20,23-01-78,Statistician II,Retail,High Net Worth,N,Yes,18,45
77,Shermie,Andrin,M,79,12-09-89,Automation Specialist IV,Financial Services,Mass Customer,N,No,7,33
78,Arch,Van der Kruis,M,37,12-03-85,Business Systems Development Analyst,Argiculture,Affluent Customer,N,No,8,38
79,Tybi,Silliman,F,76,02-10-68,Account Executive,Manufacturing,Mass Customer,N,No,18,54
80,Pablo,Small,M,11,24-04-78,Data Coordiator,Entertainment,Mass Customer,N,No,13,44
81,Bee,Blazewicz,F,58,04-09-86,,Health,High Net Worth,N,No,13,36
82,Gleda,Cokely,F,93,28-06-65,Software Test Engineer III,Property,High Net Worth,N,No,19,57
83,Kerr,Simmell,M,97,26-02-67,Internal Auditor,IT,Mass Customer,N,Yes,18,56
84,Rich,Mathiasen,M,78,07-02-58,Accountant III,,Mass Customer,N,Yes,14,65
85,Kane,Tixall,M,1,21-05-58,Analyst Programmer,,Mass Customer,N,No,8,64
86,Job,Sleney,M,75,04-03-89,Occupational Therapist,Health,High Net Worth,N,Yes,7,34
87,Fields,Langdon,M,78,23-04-74,Editor,Financial Services,Mass Customer,N,No,8,48
88,Malynda,Tumber,F,41,03-02-66,Help Desk Operator,Property,High Net Worth,N,Yes,7,57
89,Benedicto,Hoxey,M,74,22-01-67,Speech Pathologist,Health,Mass Customer,N,Yes,14,56
90,Cary,Garron,M,76,12-11-84,Quality Control Specialist,Manufacturing,Mass Customer,N,No,11,38
91,Dylan,Meaker,M,69,24-02-55,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,17,68
92,Jodee,Judkins,F,98,11-09-80,Recruiting Manager,Health,Mass Customer,N,No,12,42
93,Gordon,Gowar,M,63,16-07-76,Project Manager,Retail,Mass Customer,N,Yes,10,46
94,Wallache,Simchenko,M,33,07-08-74,Civil Engineer,Manufacturing,Mass Customer,N,No,21,48
95,Nomi,Mallinder,F,67,25-12-60,Software Engineer III,Manufacturing,Affluent Customer,N,Yes,8,62
96,Heath,Olford,M,33,31-08-68,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,15,54
97,Arne,Corain,M,16,27-07-79,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,10,43
98,Allianora,Babalola,F,19,17-03-56,Safety Technician IV,Health,Mass Customer,N,No,7,67
99,Reggie,Mulliner,M,97,13-06-98,VP Accounting,Financial Services,Mass Customer,N,No,3,24
100,Tripp,Steed,M,80,11-05-68,General Manager,Financial Services,Mass Customer,N,Yes,4,54
101,Goran,Kwietek,M,83,29-12-75,Nurse Practicioner,Manufacturing,High Net Worth,N,No,11,47
102,Langsdon,Tranfield,M,51,27-11-56,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,16,66
103,Ethyl,Runham,F,49,21-04-97,Product Engineer,Financial Services,Affluent Customer,N,Yes,4,25
104,Odille,Panketh,F,40,06-06-78,Automation Specialist II,Health,Mass Customer,N,Yes,9,44
105,Maribeth,Pristnor,F,25,17-09-01,Recruiting Manager,Manufacturing,Mass Customer,N,No,1,21
106,Glyn,,M,54,03-07-66,Software Test Engineer III,Health,High Net Worth,N,Yes,18,56
107,Pris,Stallebrass,F,97,01-07-90,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,9,32
108,Kayle,Mingaud,F,4,14-03-94,,,High Net Worth,N,No,3,29
109,Cody,Blabey,M,16,11-12-78,Marketing Assistant,,Affluent Customer,N,Yes,4,44
110,Sascha,St. Quintin,M,23,31-07-00,,Financial Services,Affluent Customer,N,No,1,22
111,Cele,Evason,F,65,29-08-93,Analyst Programmer,,Mass Customer,N,No,2,29
112,Shena,Parren,F,88,12-08-75,Marketing Manager,Retail,High Net Worth,N,No,12,47
113,Gage,Nickless,M,67,06-05-56,Staff Scientist,,Mass Customer,N,No,20,66
114,Sunny,Swindells,F,10,23-10-85,Teacher,Entertainment,Affluent Customer,N,No,8,37
115,Alberik,Mereweather,M,77,21-12-81,Account Executive,Health,Mass Customer,N,No,18,41
116,Scottie,Swiffen,M,49,05-02-99,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,2,24
117,Nance,Suttling,F,75,23-02-82,Marketing Manager,Manufacturing,Mass Customer,N,No,15,41
118,Prentice,Pearmain,M,43,12-11-59,Budget/Accounting Analyst IV,,High Net Worth,N,No,19,63
119,Willey,Chastanet,M,9,04-12-81,Associate Professor,,High Net Worth,N,Yes,9,41
120,Sloan,Wagg,M,80,02-09-78,Legal Assistant,Financial Services,High Net Worth,N,Yes,4,44
121,Myles,Pauncefort,M,82,02-10-57,Graphic Designer,Manufacturing,Mass Customer,N,No,15,65
122,Colver,Itter,M,87,19-04-79,Quality Control Specialist,Financial Services,Mass Customer,N,Yes,12,43
123,Almeta,Kalinsky,F,85,03-12-88,Analyst Programmer,Financial Services,High Net Worth,N,No,15,34
124,Kath,Cunney,F,27,03-05-95,Administrative Assistant II,Health,High Net Worth,N,Yes,5,27
125,Darrelle,Antoniewski,F,94,17-03-60,Computer Systems Analyst II,Property,Mass Customer,N,No,16,63
126,Norman,Cliff,M,53,15-10-92,Administrative Officer,Health,Mass Customer,N,Yes,3,30
127,Merrili,Whitear,F,81,03-12-74,Compensation Analyst,Financial Services,Mass Customer,N,No,19,48
128,Isidro,Cypler,M,73,17-07-77,Systems Administrator III,Property,Mass Customer,N,Yes,12,45
129,Weidar,Silkstone,M,64,20-07-85,Financial Advisor,Financial Services,High Net Worth,N,Yes,19,37
130,Raddy,Delete,M,32,18-07-97,Chemical Engineer,Manufacturing,Mass Customer,N,No,1,25
131,Jana,Renyard,F,57,16-10-64,Administrative Officer,Retail,High Net Worth,N,No,8,58
132,Celesta,Willavoys,F,5,07-07-63,Web Designer I,Manufacturing,Mass Customer,N,Yes,9,59
133,Eldridge,Fiddeman,M,12,13-06-77,VP Accounting,Financial Services,Mass Customer,N,Yes,16,45
134,Merna,McCulloch,F,34,01-08-97,Legal Assistant,Telecommunications,Affluent Customer,N,Yes,5,25
135,Rosalia,Sigart,F,18,18-01-75,Internal Auditor,IT,Mass Customer,N,No,3,48
136,Mel,Bennet,M,46,26-05-73,Senior Developer,Manufacturing,High Net Worth,N,Yes,7,49
137,Vaughn,Artin,M,27,21-11-87,Office Assistant II,Property,High Net Worth,N,No,10,35
138,Onofredo,Franc,M,5,28-04-85,Recruiter,Financial Services,Affluent Customer,N,Yes,13,37
139,Gar,,M,1,28-07-64,Operator,Telecommunications,Affluent Customer,N,No,4,58
140,Morrie,Flaxon,M,9,20-05-94,Programmer Analyst III,Manufacturing,Mass Customer,N,No,2,28
141,Townsend,Trobe,M,67,25-06-54,Teacher,Financial Services,High Net Worth,N,Yes,10,68
142,Bentley,Fortesquieu,M,57,07-08-67,Quality Engineer,Health,Affluent Customer,N,No,17,55
143,Kendall,Figg,M,19,01-09-57,Operator,Argiculture,Mass Customer,N,Yes,11,65
145,Filippo,Ferrara,M,33,21-07-97,Account Executive,Financial Services,Mass Customer,N,No,4,25
146,Ricoriki,Matlock,M,34,08-04-85,Quality Control Specialist,Manufacturing,Mass Customer,N,No,8,38
147,Rea,Pattrick,F,32,06-12-73,Analog Circuit Design manager,Health,Mass Customer,N,Yes,10,49
148,Jaquith,Maffey,F,69,08-05-81,Programmer Analyst III,,Mass Customer,N,Yes,5,41
149,Drucy,Kausche,F,41,31-01-95,Research Nurse,Health,Mass Customer,N,Yes,1,28
150,Bradly,Crosse,M,6,23-08-83,Cost Accountant,Financial Services,Affluent Customer,N,No,17,39
151,Donnie,Brimson,M,36,31-01-65,Marketing Manager,Manufacturing,Mass Customer,N,Yes,13,58
152,Stephana,Cardew,F,5,03-03-81,Compensation Analyst,Financial Services,Mass Customer,N,No,16,42
153,Lorilyn,Walshe,F,73,28-07-77,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,12,45
154,Faydra,Dulieu,F,90,13-02-58,Junior Executive,,Mass Customer,N,No,11,65
155,Orran,Bogges,M,4,28-12-85,Quality Engineer,Manufacturing,Mass Customer,N,No,10,37
156,Shayla,Rimmington,F,23,09-09-79,Cost Accountant,Financial Services,Mass Customer,N,Yes,11,43
157,Chad,Houtby,M,97,23-11-74,Financial Advisor,Financial Services,Affluent Customer,N,No,16,48
158,Hamlin,Odams,M,99,03-09-84,Internal Auditor,,Affluent Customer,N,No,5,38
159,Arin,Matskevich,M,90,12-05-87,Research Nurse,Health,Affluent Customer,N,No,13,35
160,Wake,Durning,M,5,15-07-64,Registered Nurse,Health,Mass Customer,N,No,18,58
161,Tadd,Bloss,M,49,21-01-76,,,Mass Customer,N,No,16,47
162,Port,Acuna,M,90,12-08-79,Nurse Practicioner,IT,Mass Customer,N,No,15,43
163,Kessia,Helder,F,58,06-09-76,Librarian,Entertainment,High Net Worth,N,Yes,14,46
164,Aarika,Van Vuuren,F,55,07-08-99,Senior Editor,Retail,Affluent Customer,N,Yes,1,23
165,Aldon,Roelofs,M,61,25-03-84,Administrative Officer,Argiculture,Mass Customer,N,Yes,12,39
166,Elston,Oleszczak,M,54,12-06-55,Structural Analysis Engineer,Manufacturing,Affluent Customer,N,No,6,67
167,Nathalie,Tideswell,F,95,27-10-69,,Health,High Net Worth,N,Yes,17,53
169,Alfy,Bruhnke,M,20,19-10-57,Data Coordiator,Telecommunications,High Net Worth,N,Yes,5,65
170,Jammal,Gever,M,80,02-06-75,Pharmacist,Health,High Net Worth,N,No,21,47
171,Halli,Davidoff,F,62,04-12-70,Assistant Manager,Manufacturing,Mass Customer,N,No,10,52
172,Hilton,Carney,M,54,12-09-88,Editor,Manufacturing,Affluent Customer,N,Yes,6,34
173,Ebba,Hanselmann,F,99,02-01-97,General Manager,Health,Affluent Customer,N,No,1,26
174,Catie,Tosspell,F,93,26-11-89,Food Chemist,Health,Mass Customer,N,No,12,33
175,Templeton,Hambrook,M,36,28-11-75,Quality Engineer,Manufacturing,Affluent Customer,N,No,5,47
176,Angelo,Clayal,M,39,13-04-92,Accountant I,Property,Mass Customer,N,No,10,31
177,Ondrea,Pablos,F,25,09-11-89,Professor,Financial Services,High Net Worth,N,No,4,33
178,Matthieu,Bertelmot,M,2,03-04-67,,,Affluent Customer,N,No,8,56
179,Esteban,Sewill,M,23,11-05-66,Environmental Tech,Manufacturing,High Net Worth,N,Yes,6,56
180,Trisha,Neasham,F,16,17-09-71,Web Designer III,Argiculture,Affluent Customer,N,No,14,51
181,Pavla,Braunle,F,49,21-11-82,Senior Editor,Manufacturing,Mass Customer,N,No,9,40
182,Lydon,Dahlman,M,99,20-11-92,Sales Associate,Financial Services,Affluent Customer,N,Yes,7,30
183,Dannie,Hissie,F,7,05-08-97,Geologist III,Retail,Affluent Customer,N,No,3,25
184,Nappie,Paolo,M,40,13-12-71,Marketing Manager,Manufacturing,High Net Worth,N,Yes,7,51
185,Crosby,Walcot,M,80,13-12-79,,Property,Mass Customer,N,Yes,13,43
186,Mireielle,Jeppe,F,46,06-05-74,Software Test Engineer I,Financial Services,Mass Customer,N,No,3,48
187,Pincas,Ather,M,97,28-01-54,Structural Engineer,,Mass Customer,N,No,11,69
188,Audry,Seine,F,54,22-06-75,Safety Technician II,Property,High Net Worth,N,Yes,13,47
189,Umberto,Torricella,M,73,19-07-81,Safety Technician I,Financial Services,Affluent Customer,N,No,10,41
190,Hayley,Girardengo,F,42,04-02-79,Registered Nurse,Health,Affluent Customer,N,No,10,44
191,Christopher,Heining,M,22,27-04-60,Help Desk Operator,,Affluent Customer,N,Yes,6,62
192,Goldi,Osler,F,2,19-11-78,Junior Executive,Health,Mass Customer,N,Yes,8,44
193,Foss,Hardes,M,13,22-07-64,Recruiting Manager,Manufacturing,Mass Customer,N,Yes,12,58
194,Ursala,Ferrai,F,4,16-11-74,Web Developer III,Financial Services,Affluent Customer,N,No,10,48
195,Talyah,Rylatt,F,34,14-11-58,Project Manager,Manufacturing,Mass Customer,N,No,6,64
196,Swen,Odhams,M,90,22-02-66,Programmer Analyst II,Manufacturing,High Net Worth,N,No,6,57
197,Avis,,F,32,27-01-77,,,High Net Worth,N,No,5,46
198,Vanya,Gumb,F,82,29-11-81,Assistant Media Planner,Entertainment,Mass Customer,N,No,16,41
199,Verla,Alven,F,61,13-02-78,Junior Executive,Health,Mass Customer,N,Yes,21,45
200,Hube,Weald,M,7,04-02-57,Physical Therapy Assistant,Property,Affluent Customer,N,Yes,19,66
201,Salem,Huie,M,45,20-04-66,Design Engineer,Manufacturing,Mass Customer,N,Yes,11,56
202,Audie,Pillinger,F,38,24-06-63,Librarian,Entertainment,Affluent Customer,N,Yes,16,59
203,Donovan,Conry,M,71,13-01-64,Senior Quality Engineer,Argiculture,Mass Customer,N,Yes,11,59
204,Thorny,Hackworth,M,56,01-10-76,Editor,Financial Services,Mass Customer,N,No,5,46
205,Rolfe,Kellard,M,18,01-12-58,Administrative Assistant II,Financial Services,Mass Customer,N,Yes,6,64
206,Mari,Chevolleau,F,98,19-07-54,Statistician I,,Mass Customer,N,Yes,14,68
207,Adena,Whyman,F,9,10-08-94,,,Mass Customer,N,No,7,28
208,Rutter,Excell,M,57,31-10-94,Office Assistant III,Property,High Net Worth,N,No,5,28
209,Udall,Bellard,M,9,28-08-57,Analog Circuit Design manager,,Affluent Customer,N,Yes,6,65
210,Albrecht,Thomasson,M,50,18-11-63,Assistant Manager,Property,Mass Customer,N,No,18,59
211,Beitris,,F,6,04-03-74,VP Marketing,Manufacturing,Mass Customer,N,Yes,5,49
212,Nanice,Ellse,F,21,19-11-01,Desktop Support Technician,IT,Affluent Customer,N,No,1,21
213,Lockwood,Exroll,M,13,14-05-96,Actuary,Financial Services,High Net Worth,N,Yes,6,26
214,Jeramie,Cellier,M,82,29-11-57,Food Chemist,Health,Mass Customer,N,No,6,65
215,Debera,Foxworthy,F,37,24-06-74,Assistant Professor,Retail,High Net Worth,N,Yes,18,48
216,Cinderella,Parcall,F,12,12-01-95,Quality Engineer,Financial Services,High Net Worth,N,Yes,7,28
217,Jeralee,Quartly,F,63,09-12-79,,Manufacturing,High Net Worth,N,No,16,43
218,Stefa,Dunnan,F,37,06-08-93,Administrative Officer,Property,High Net Worth,N,Yes,8,29
219,Markus,Mughal,M,9,25-11-64,Database Administrator III,Health,Mass Customer,N,No,7,58
220,Jeniffer,Apark,F,79,10-05-54,Electrical Engineer,Manufacturing,High Net Worth,N,No,9,68
221,Mara,Bloore,F,14,10-03-80,Tax Accountant,Manufacturing,Mass Customer,N,No,14,43
222,Nev,Larive,M,89,03-09-78,Clinical Specialist,Health,Mass Customer,N,No,16,44
223,Ossie,Meaton,M,13,26-11-83,VP Sales,,Affluent Customer,N,Yes,14,39
224,Morgun,Girvan,M,2,03-12-67,Compensation Analyst,Financial Services,Affluent Customer,N,No,17,55
225,Brittaney,Pring,F,84,11-03-77,Pharmacist,Health,Affluent Customer,N,No,13,46
226,Bondie,Letty,M,96,11-11-77,Database Administrator IV,Manufacturing,Mass Customer,N,No,20,45
227,Wendall,McKeand,M,99,14-08-73,Accountant I,Entertainment,Mass Customer,N,No,18,49
228,Lucia,Pickervance,F,59,25-05-86,Systems Administrator II,Manufacturing,High Net Worth,N,No,12,36
229,Vaughn,Lambis,M,30,06-03-66,,Property,High Net Worth,N,No,19,57
230,Maegan,Scyone,F,74,24-06-54,Internal Auditor,Property,High Net Worth,N,No,11,68
231,Basile,Winsor,M,48,05-08-95,Design Engineer,Financial Services,Mass Customer,N,Yes,3,27
232,Zaria,Koeppke,F,94,11-11-87,Professor,Retail,Mass Customer,N,No,12,35
233,Art,Barwell,M,34,08-08-86,Environmental Tech,Property,Mass Customer,N,No,13,36
234,Mead,Alpes,F,71,12-08-69,Chief Design Engineer,Retail,High Net Worth,N,No,12,53
235,Leona,Phateplace,F,30,26-12-76,Social Worker,Health,Mass Customer,N,No,15,46
236,Tybalt,Gillingwater,M,79,30-10-54,Research Nurse,Health,Affluent Customer,N,No,14,68
237,Reginald,Dartan,M,18,07-03-74,Account Coordinator,Property,High Net Worth,N,Yes,11,49
238,Max,Bilborough,M,54,04-02-84,Programmer III,,Mass Customer,N,Yes,14,39
239,Wells,Pressman,M,62,13-12-92,Registered Nurse,Health,Affluent Customer,N,No,3,30
240,Gavin,Fawks,M,49,28-07-89,Administrative Assistant III,IT,High Net Worth,N,Yes,15,33
241,Quillan,Duigan,M,94,09-05-87,Quality Engineer,Entertainment,Mass Customer,N,No,20,35
242,Taite,Droghan,M,17,20-03-92,Nurse,Property,Affluent Customer,N,No,8,31
243,Barbara,Croxley,F,94,02-09-76,Teacher,Manufacturing,High Net Worth,N,Yes,14,46
244,Germayne,Sperry,M,57,25-11-74,,Retail,Affluent Customer,N,No,8,48
245,Noell,Grahlmans,F,6,26-09-01,Associate Professor,Financial Services,Affluent Customer,N,No,1,21
246,Binny,Whight,F,63,28-02-91,Technical Writer,Manufacturing,High Net Worth,N,No,9,32
247,Kristal,Joysey,F,62,06-05-83,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13,39
248,Inger,Eskell,F,76,15-04-78,Clinical Specialist,Health,Affluent Customer,N,Yes,12,44
249,D'arcy,Slay,M,65,13-09-92,Quality Control Specialist,IT,High Net Worth,N,No,9,30
250,Kristofer,,M,53,15-04-88,Legal Assistant,Health,Mass Customer,N,Yes,13,34
251,Mala,,F,88,24-12-77,VP Sales,Financial Services,Affluent Customer,N,Yes,10,45
252,Anthea,Ruskin,F,39,24-01-83,Account Coordinator,Property,Mass Customer,N,Yes,13,40
253,Amalee,Choak,F,82,11-05-97,Food Chemist,Health,Mass Customer,N,Yes,1,25
254,Barbie,Rubi,F,98,22-09-61,Information Systems Manager,Retail,Mass Customer,N,No,14,61
255,Keeley,Kruger,F,2,15-01-54,Desktop Support Technician,IT,Mass Customer,N,No,5,69
256,Linell,Beadle,F,16,07-05-75,Director of Sales,Health,High Net Worth,N,Yes,21,47
257,Marissa,,F,70,08-02-66,Sales Associate,Manufacturing,Affluent Customer,N,Yes,19,57
258,Othella,Keher,F,24,03-05-92,Administrative Officer,Manufacturing,High Net Worth,N,No,9,30
259,Venita,Dymick,F,70,22-07-83,Senior Developer,Health,High Net Worth,N,Yes,3,39
260,Farand,Marriner,F,47,30-08-79,Senior Quality Engineer,Health,High Net Worth,N,Yes,22,43
261,Marve,Pryn,M,74,15-10-77,Structural Engineer,,Mass Customer,N,No,8,45
262,Cordie,Petrelli,M,97,23-12-77,,Health,High Net Worth,N,Yes,10,45
263,Tonia,Leigh,F,89,19-11-85,Dental Hygienist,Health,High Net Worth,N,No,7,37
264,Jedd,Spiby,M,31,07-12-77,Technical Writer,Health,Mass Customer,N,No,11,45
265,Pennie,Stoile,M,74,05-10-65,Sales Representative,Retail,High Net Worth,N,Yes,18,57
266,Lelia,Garatty,F,69,19-07-89,Account Executive,Retail,Affluent Customer,N,No,18,33
268,Kacie,Kidston,F,60,18-10-78,Chemical Engineer,Manufacturing,Mass Customer,N,No,10,44
269,Zacherie,Grindley,M,55,19-09-54,Nurse Practicioner,Property,Mass Customer,N,Yes,9,68
270,Auberta,Roundtree,F,38,10-12-70,Budget/Accounting Analyst III,,Mass Customer,N,Yes,17,52
271,Doll,Burtwell,F,51,13-02-91,Financial Advisor,Financial Services,Mass Customer,N,No,4,32
272,Arlie,Crean,F,22,06-06-87,Product Engineer,Retail,Mass Customer,N,Yes,1,35
273,Nevile,Abraham,M,54,22-04-63,Computer Systems Analyst IV,,Mass Customer,N,No,19,59
274,Tessi,Hesse,F,66,15-09-76,Social Worker,Health,Mass Customer,N,Yes,14,46
275,Dud,,M,7,27-07-55,VP Sales,Health,High Net Worth,N,No,13,67
276,Goldi,Dwine,F,47,25-03-90,,Financial Services,Mass Customer,N,No,22,33
277,Jehanna,Alvarado,F,69,19-02-56,VP Product Management,,High Net Worth,N,No,15,67
278,Sydney,Georger,M,22,30-07-97,Executive Secretary,,Affluent Customer,N,Yes,4,25
279,Tamera,Hinckes,F,0,09-09-81,Web Designer I,Manufacturing,Mass Customer,N,No,11,41
280,Welch,MacAllaster,M,15,22-03-95,Geologist I,,Affluent Customer,N,Yes,5,28
281,Jeanette,Sizzey,F,51,27-12-72,Cost Accountant,Financial Services,High Net Worth,N,Yes,8,50
